".\VolumeSampling.exe -i .\Dragon_50k.obj -o Dragon_50k.vtk --viscosity 0.05 -r 0.04 -s "2.5 2.5 2.5""
"id","Points:0","Points:1","Points:2"
506,-0.2574,0.16769,-0.29868
507,-0.20076,0.17923,-0.26506
508,0.40868,0.17241,-0.29473
509,0.50283,0.18613,-0.27431
510,0.56707,0.15557,-0.31378
511,0.66436,0.14291,-0.28344
512,0.7211,0.17115,-0.29476
513,0.78845,0.16309,-0.29765
514,0.90397,0.17608,-0.29975
515,0.9563,0.14969,-0.27392
516,-1.1603,0.19596,-0.35694
517,-1.0114,0.20302,-0.30513
518,-0.92342,0.24639,-0.36102
519,-0.85558,0.2334,-0.32039
520,-0.77152,0.21569,-0.34272
521,-0.70055,0.21107,-0.33295
522,-0.61902,0.22936,-0.31734
523,-0.54339,0.22992,-0.33158
524,-0.46256,0.24435,-0.33712
525,-0.3846,0.23485,-0.33478
526,-0.30034,0.22814,-0.32221
527,-0.22683,0.23083,-0.32414
528,-0.16522,0.24583,-0.29023
529,0.37335,0.25478,-0.31602
530,0.41889,0.21836,-0.33568
531,0.52068,0.2556,-0.32836
532,0.61225,0.22639,-0.3629
533,0.68424,0.21915,-0.3521
534,0.7685,0.25184,-0.33868
535,0.83424,0.2362,-0.33868
536,0.87656,0.22988,-0.29521
537,-0.94286,0.33599,-0.26075
538,-0.89506,0.30043,-0.30668
539,-0.81106,0.29724,-0.30387
540,-0.73076,0.29446,-0.29831
541,-0.6533,0.30029,-0.28646
542,-0.58028,0.30895,-0.30302
543,-0.50318,0.30613,-0.27509
544,-0.42184,0.30043,-0.27919
545,-0.34117,0.30244,-0.29091
546,-0.26183,0.30475,-0.28779
547,-0.17151,0.30202,-0.32538
548,-0.11595,0.29014,-0.28314
549,-0.065527,0.31343,-0.25078
550,0.33776,0.30091,-0.27407
551,0.41541,0.30207,-0.28499
552,0.48737,0.30238,-0.28932
553,0.57428,0.30169,-0.28694
554,0.64297,0.28902,-0.31498
555,0.71042,0.29432,-0.29622
556,0.79091,0.28935,-0.26774
557,0.85724,0.29987,-0.29146
558,-0.95502,0.39762,-0.34894
559,-0.92796,0.35393,-0.34463
560,-0.84653,0.36898,-0.33368
561,-0.77038,0.36186,-0.31333
562,-0.68517,0.36471,-0.33134
563,-0.61265,0.38408,-0.33591
564,-0.53713,0.37649,-0.3208
565,-0.46415,0.36705,-0.33698
566,-0.39995,0.3769,-0.34868
567,-0.33564,0.37577,-0.36201
568,-0.24116,0.37338,-0.33246
569,-0.1279,0.34395,-0.32675
570,-0.082228,0.37425,-0.31171
571,0.35794,0.33933,-0.3245
572,0.45063,0.36542,-0.31947
573,0.52712,0.36051,-0.332
574,0.6093,0.36389,-0.32616
